Line Start,Line End,Rhyme Type,Words
667,668,M,reed / heed
669,670,M,ale-stake / cake
671,672,E,pardoner / compeer
673,674,M,rome / me
675,676,M,burdoun / soun
677,678,M,wex / flex
679,680,M,hadde / overspradde
681,682,M,oon / noon
683,684,M,walet / jet
685,686,M,bare / hare
687,688,M,cappe / lappe
689,690,M,hoot / goot
691,692,M,have / shave
693,694,M,mare / ware
695,696,E,pardoner / pilwe-beer
697,698,M,veyl / seyl
699,700,M,wente / hente
701,702,F,stones / bones
703,704,M,fond / lond
705,706,M,moneye / tweye
707,708,F,japes / apes
709,710,M,laste / ecclesiaste
711,712,F,storie / offertorie
713,714,M,songe / tonge
715,716,M,koude / loude
717,718,M,clause / cause
719,720,M,compaignye / hostelrye
721,722,M,belle / telle
723,724,M,nyght / alyght
725,726,M,viage / pilgrimage
727,728,M,curteisye / vileynye
729,730,M,mateere / cheere
731,732,M,proprely / I
733,734,M,man / kan
735,736,M,charge / large
737,738,M,untrewe / newe
739,740,F,brother / another
741,742,M,writ / it
743,744,M,rede / dede
745,746,M,me / degree
747,748,M,stonde / understonde
749,750,M,everichon / anon
751,752,M,beste / leste
753,754,M,withalle / halle
755,756,M,stepe / chepe
757,758,M,ytaught / naught
759,760,M,man / bigan
761,762,F,thynges / rekenynges
763,764,F,trewely / hertely
765,766,M,lye / compaignye
767,768,M,now / how
769,770,M,bythoght / noght
771,772,M,speede / meede
773,774,M,weye / pleye
775,776,M,noon / stoon
777,778,M,disport / confort
779,780,M,assent / juggement
781,782,M,seye / weye
783,784,M,deed / heed
785,786,M,speche / seche
787,788,M,wys / avys
789,790,M,leste / beste
791,792,M,desdeyn / pleyn
793,794,M,weye / tweye
795,796,M,so / two
797,798,M,bifalle / alle
799,800,M,caas / solaas
801,802,M,cost / post
803,804,F,caunterbury / mury
805,806,M,ryde / gyde
807,808,M,withseye / weye
809,810,M,so / mo
811,812,M,therfore / swore
813,814,M,also / so
815,816,M,governour / reportour
817,818,M,pris / devys
819,820,M,assent / juggement
821,822,M,anon / echon
823,824,M,taryynge / sprynge
825,826,M,cok / flok
827,828,M,paas / thomas
829,830,M,areste / leste
831,832,M,recorde / accorde
833,834,M,tale / ale
835,836,M,juggement / spent
837,838,M,twynne / bigynne
839,840,M,lord / accord
841,842,M,prioresse / shamefastnesse
843,844,M,man / bigan
845,846,M,was / cas
847,848,M,knyght / wyght
849,850,E,resoun / composicioun
851,852,M,mo / so
853,854,E,obedient / assent
855,856,M,game / name
857,858,M,seye / weye
859,860,M,cheere / heere
