Line Number,Word 1,Word 2,Rhyme Type
891,rede,wommanhede,M
893,emelye,compaignye,M
895,alle,falle,M
897,estaat,debaat,F
899,soore,moore,M
901,alle,falle,M
903,stood,mood,M
905,herte,sterte,M
907,clause,cause,M
909,accused,excused,F
911,man,kan,M
913,prisoun,compassioun,F
915,oon,anon,M
917,fy,mercy,M
919,dede,drede,M
921,man,bigan,M
923,discrecioun,divisioun,F
925,oon,agoon,M
927,lighte,highte,M
929,benedicite,he,M
931,obstacles,myracles,F
933,gyse,divyse,M
935,palamoun,prisoun,F
937,roially,enemy,M
939,also,two,M
941,dye,folye,M
943,love,above,M
945,arrayed,ypayed,M
947,servyse,wyse,M
949,bifalle,alle,M
951,jolitee,me,M
953,fare,hare,M
955,coold,oold,M
957,agon,oon,M
959,peyne,distreyne,M
961,laas,trespaas,M
963,heere,deere,M
965,swere,dere,M
967,day,may,M
969,deel,weel,M
971,preyde,seyde,M
973,richesse,princesse,F
975,doutelees,nathelees,F
977,emelye,jalousye,M
979,two,everemo,M
981,lief,leef,M
983,bothe,wrothe,M
985,degree,destynee,M
987,wyse,devyse,M
989,conclusioun,repplicacioun,F
991,beste,leste,M
993,daunger,ner,M
995,knyghtes,rightes,M
997,bataille,faille,M
999,knyght,myght,M
1001,thow,now,M
1003,dryve,wyve,M
1005,grace,place,M
1007,rewe,trewe,M
1009,maken,taken,F
1011,ysayd,apayd,M
1013,conclusioun,palamoun,F
1015,arcite,endite,M
1017,place,grace,M
1019,wight,myght,M
1021,sithe,blithe,M
1023,ride,wyde,M
1025,pars,tercia,M
1027,necligence,dispence,F
1029,bisily,roially,M
1031,was,nas,M
1033,aboute,withoute,M
1035,compas,pas,M
1037,degree,see,M
1039,whit,opposit,M
1041,place,space,M
1043,man,kan,M
1045,ymages,wages,F
1047,devyse,sacrifise,M
1049,above,love,M
1051,oratorie,memorie,F
1053,another,fother,F
1055,wal,coral,M
1057,see,chastitee,M
1059,wyse,devyse,M
1061,portreitures,figures,F
1063,thre,se,M
1065,biholde,colde,M
1067,waymentynge,desirynge,F
1069,enduren,assuren,F
1071,foolhardynesse,richesse,M
1073,flaterye,jalousye,M
1075,gerland,hand,M
1077,daunces,circumstaunces,F
1079,shal,wal,M
1081,mencioun,citheroun,F
1083,dwellynge,portreyynge,F
1085,lustynesse,ydelnesse,M
1087,agon,salomon,M
1089,ercules,circes,M
1091,corage,servage,M
1093,richesse,hardynesse,M
1095,champartie,gye,M
1097,las,allas,M
1099,two,mo,M
1101,se,see,M
1103,was,glas,M
1105,she,se,M
1107,smellynge,flikerynge,F
1109,cupido,two,M
1111,seene,kene,M
1113,al,wal,M
1115,rede,brede,M
1117,place,trace,M
1119,regioun,mansioun,F
1121,forest,best,M
1123,olde,biholde,M
1125,swough,bough,M
1127,bente,armypotente,M
1129,entree,see,M
1131,veze,rese,M
1133,shoon,noon,M
1135,discerne,eterne,M
1137,endelong,strong,M
1139,sustene,shene,M
1141,ymaginyng,compassyng,M
1143,gleede,drede,M
1145,cloke,smoke,M
1147,bedde,bibledde,M
1149,manace,place,M
1151,ther,heer,M
1153,a-nyght,upright,E
1155,meschaunce,contenaunce,F
1157,rage,outrage,M
1159,ycorve,ystorve,F
1161,yraft,laft,M
1163,hoppesteres,beres,F
1165,cradel,ladel,F
1167,marte,carte,M
1169,adoun,divisioun,F
1171,smyth,styth,M
1173,tour,honour,M
1175,heed,threed,M
1177,julius,antonius,M
1179,unborn,ther-biforn,M
1181,figure,portreiture,F
1183,above,love,M
1185,olde,wolde,M
1187,stood,wood,M
1189,figures,scriptures,F
1191,rubeus,thus,M
1193,feet,eet,M
1195,storie,glorie,F
1197,chaste,haste,M
1199,descripsioun,doun,M
1201,chastitee,calistopee,M
1203,here,bere,M
1205,loode-sterre,ferre,M
1207,see,tree,M
1209,diane,dane,M
1211,ymaked,naked,F
1213,caught,naught,M
1215,moor,boor,M
1217,mo,wo,M
1219,storie,memorie,F
1221,seet,feet,M
1223,moone,soone,M
1225,was,cas,M
1227,adoun,regioun,F
1229,biforn,unborn,M
1231,calle,alle,M
1233,wroghte,boghte,M
1235,theseus,thus,M
1237,deel,weel,M
1239,lite,arcite,M
1241,retournynge,brynge,F
1243,tolde,holde,M
1245,knyghtes,rightes,M
1247,man,bigan,M
1249,hond,lond,M
1251,compaignye,chivalrye,M
1253,name,game,M
1255,was,cas,M
1257,knyght,myght,M
1259,elleswhere,there,M
1261,benedicitee,see,M
1263,palamon,on,M
1265,haubergeoun,gypoun,F
1267,large,targe,M
1269,weel,steel,M
1271,old,told,M
1273,opinioun,palamoun,F
1275,trace,face,M
1277,heed,reed,M
1279,aboute,stoute,M
1281,stronge,longe,M
1283,contree,he,M
1285,trays,harnays,M
1287,gold,old,M
1289,bak,blak,M
1291,wighte,brighte,M
1293,dyamauntz,alauntz,M
1295,steer,deer,M
1297,ybounde,rounde,M
1299,route,stoute,M
1301,fynde,inde,M
1303,steel,weel,M
1305,mars,tars,M
1307,grete,ybete,M
